workers,time,radius
1,2061093098,2
1,5200383707,4
1,9924715467,6
1,16509571334,8
1,24811638480,10
1,34126822830,12
1,50056599796,14
1,59387788206,16
1,74661314523,18
1,92272245104,20
2,1189791521,2
2,3071938038,4
2,5559536900,6
2,9136906893,8
2,13545587260,10
2,18792405748,12
2,27048750756,14
2,31825422798,16
2,39894283892,18
2,49542274486,20
3,936071813,2
3,2180450993,4
3,4054570863,6
3,6588399487,8
3,9472616647,10
3,13020415036,12
3,18308770722,14
3,20984815961,16
3,26665905951,18
3,32874398910,20
4,758485915,2
4,1704059819,4
4,3179164888,6
4,5090596349,8
4,7574246907,10
4,10207278424,12
4,14550853911,14
4,16791902410,16
4,20437116480,18
4,25741964739,20
5,625713937,2
5,1444952231,4
5,2589980842,6
5,4183302065,8
5,6056161987,10
5,8357515928,12
5,11340979924,14
5,13863608701,16
5,16785603850,18
5,20497423046,20
6,625738246,2
6,1358562447,4
6,2298801084,6
6,3596718751,8
6,5080273733,10
6,6860281979,12
6,9639129611,14
6,11502382757,16
6,14381981364,18
6,17030709155,20
7,588169789,2
7,1251800577,4
7,2159362342,6
7,3189199053,8
7,4538035999,10
7,6279787734,12
7,8528983913,14
7,10015340074,16
7,12633358413,18
7,15143740530,20
8,521710798,2
8,1104782774,4
8,1914996885,6
8,2851065415,8
8,4101804858,10
8,5683200846,12
8,7766358757,14
8,9129828211,16
8,11426646552,18
8,13531658132,20
9,456561567,2
9,1040001049,4
9,1800052639,6
9,2782374448,8
9,3868661232,10
9,5205049102,12
9,7037632919,14
9,8367887428,16
9,10373669251,18
9,12321138627,20
10,442600917,2
10,990022533,4
10,1685600747,6
10,2553790092,8
10,3619236281,10
10,4763341775,12
10,6681985614,14
10,7694026735,16
10,9358113959,18
10,11303305923,20
11,420546800,2
11,942304358,4
11,1567561519,6
11,2304074353,8
11,3244824629,10
11,4357752414,12
11,6022092399,14
11,7057139813,16
11,8713846385,18
11,10445402285,20
12,393857901,2
12,901024562,4
12,1485456538,6
12,2184994117,8
12,3083428603,10
12,4148393217,12
12,5523109788,14
12,6558653443,16
12,7912129986,18
12,9582761775,20
13,365536421,2
13,880008551,4
13,1443270572,6
13,2050791036,8
13,2881637143,10
13,3807613433,12
13,5282836219,14
13,6068931566,16
13,7532087113,18
13,9012861691,20
14,348807041,2
14,844077783,4
14,1389017727,6
14,1979811868,8
14,2672820775,10
14,3537514073,12
14,4955344516,14
14,5778177509,16
14,7072190822,18
14,8388967629,20
15,334514538,2
15,803409398,4
15,1310952050,6
15,1836291872,8
15,2571021120,10
15,3380421537,12
15,4665694680,14
15,5594746260,16
15,6666555187,18
15,8086411777,20
16,319535684,2
16,745461717,4
16,1209419837,6
16,1744702497,8
16,2479733852,10
16,3262679398,12
16,4513240870,14
16,5349987302,16
16,6385655639,18
16,7715370798,20
17,312414331,2
17,735766358,4
17,1148589973,6
17,1718979182,8
17,2393257414,10
17,3181948470,12
17,4354414313,14
17,5087612234,16
17,6122899652,18
17,7515547389,20
18,296066736,2
18,724355657,4
18,1204485022,6
18,1703696297,8
18,2323527229,10
18,3134706821,12
18,4263119427,14
18,5023951624,16
18,6100960043,18
18,7203403313,20
19,295300483,2
19,716656516,4
19,1210293224,6
19,1734183040,8
19,2443530874,10
19,3146611524,12
19,4391048454,14
19,5169372915,16
19,6176252024,18
19,7579122693,20
20,292618153,2
20,731934354,4
20,1173250694,6
20,1738832199,8
20,2414177446,10
20,3152502458,12
20,4275492617,14
20,5120396373,16
20,6213907363,18
20,7588825425,20
21,283468087,2
21,688901013,4
21,1164159990,6
21,1699957506,8
21,2364549849,10
21,3134349902,12
21,4244924194,14
21,5085015564,16
21,6194651782,18
21,7633023954,20
22,273072124,2
22,637415801,4
22,1045928415,6
22,1567310565,8
22,2181935511,10
22,2997177090,12
22,4198511249,14
22,5065008251,16
22,6192999079,18
22,7493072832,20
23,272829112,2
23,605668099,4
23,1009236970,6
23,1486389296,8
23,2136569004,10
23,2967911232,12
23,4113472018,14
23,5023513744,16
23,6065672923,18
23,7646304246,20
24,264158947,2
24,613052082,4
24,982832546,6
24,1476892203,8
24,2102668363,10
24,2931679538,12
24,4077736769,14
24,4901066530,16
24,6008451602,18
24,7327305395,20
25,259310937,2
25,604282518,4
25,933287291,6
25,1475222413,8
25,2100159412,10
25,2988355125,12
25,4064868472,14
25,4893204709,16
25,5968566781,18
25,7265627745,20
26,249344716,2
26,573976449,4
26,934903646,6
26,1466390866,8
26,2080229194,10
26,2843201621,12
26,3975903108,14
26,4814743032,16
26,5962605397,18
26,7258430689,20
27,257610675,2
27,540416716,4
27,957556521,6
27,1433845704,8
27,2064259146,10
27,2789447000,12
